{'stateEstimate.z': -0.1427295058965683, 'stateEstimate.y': 2.861642360687256, 'stateEstimate.x': 1.1665230989456177}
{'stateEstimate.z': -0.14339300990104675, 'stateEstimate.y': 2.8615550994873047, 'stateEstimate.x': 1.1703280210494995}
{'stateEstimate.z': -0.14239487051963806, 'stateEstimate.y': 2.8600351810455322, 'stateEstimate.x': 1.1668816804885864}
{'stateEstimate.z': -0.14448922872543335, 'stateEstimate.y': 2.859919309616089, 'stateEstimate.x': 1.1710399389266968}
{'stateEstimate.z': -0.14465200901031494, 'stateEstimate.y': 2.862764835357666, 'stateEstimate.x': 1.1686699390411377}
{'stateEstimate.z': -0.14348311722278595, 'stateEstimate.y': 2.8606505393981934, 'stateEstimate.x': 1.1676404476165771}
{'stateEstimate.z': -0.14518100023269653, 'stateEstimate.y': 2.8620219230651855, 'stateEstimate.x': 1.1701691150665283}
{'stateEstimate.z': -0.1432461440563202, 'stateEstimate.y': 2.860161542892456, 'stateEstimate.x': 1.1678355932235718}
{'stateEstimate.z': -0.14439742267131805, 'stateEstimate.y': 2.861219644546509, 'stateEstimate.x': 1.1705657243728638}
{'stateEstimate.z': -0.14399440586566925, 'stateEstimate.y': 2.8603031635284424, 'stateEstimate.x': 1.1704275608062744}
